file,box_id,confidence,is_tp,llm_verdict
200004.jpg,0,0.8545868992805481,True,VALID
200004.jpg,1,0.8405047655105591,True,VALID
190408.jpg,0,0.8869036436080933,True,VALID
190408.jpg,1,0.8485448360443115,True,VALID
190408.jpg,2,0.7354723215103149,True,VALID
190414.jpg,0,0.8535287976264954,True,VALID
230079.jpg,0,0.8602893948554993,True,VALID
230079.jpg,1,0.6736864447593689,True,VALID
260493.jpg,0,0.8793506026268005,True,VALID
230235.jpg,0,0.8588655591011047,True,VALID
230235.jpg,1,0.5911930203437805,True,FALSE_POSITIVE
230111.jpg,0,0.8808576464653015,True,VALID
210388.jpg,0,0.815131664276123,True,VALID
240249.jpg,0,0.8416436910629272,True,VALID
230263.jpg,0,0.8682746291160583,True,VALID
230263.jpg,1,0.7600529193878174,True,VALID
240342.jpg,0,0.7255381345748901,True,VALID
240342.jpg,1,0.7149325609207153,True,VALID
240342.jpg,2,0.7106998562812805,True,VALID
240342.jpg,3,,,
190159.jpg,0,0.8589311838150024,True,VALID
190159.jpg,1,0.8180432319641113,True,VALID
210341.jpg,0,0.6974974274635315,True,VALID
210341.jpg,1,0.3607884347438812,True,FALSE_POSITIVE
210341.jpg,2,,,
220059.jpg,0,0.8732590079307556,True,VALID
220059.jpg,1,0.7687668204307556,False,VALID
220059.jpg,2,0.6941042542457581,False,VALID
220371.jpg,0,0.7752026915550232,True,VALID
220371.jpg,1,0.7204704284667969,True,VALID
260534.jpg,0,0.8609665632247925,True,VALID
240024.jpg,0,0.818023145198822,True,VALID
240024.jpg,1,,,
190075.jpg,0,0.8657453060150146,True,VALID
190075.jpg,1,0.8565247654914856,True,VALID
200084.jpg,0,0.8382009863853455,True,VALID
200084.jpg,1,0.8337538838386536,True,VALID
200084.jpg,2,0.802901566028595,True,VALID
200046.jpg,0,0.8406823873519897,True,VALID
200046.jpg,1,0.801902174949646,True,VALID
200151.jpg,0,0.859894871711731,True,VALID
200151.jpg,1,0.8153620362281799,True,VALID
200151.jpg,2,0.8147520422935486,True,VALID
200151.jpg,3,0.8031787872314453,True,VALID
200151.jpg,4,0.7696084380149841,True,VALID
260458.jpg,0,0.8499811291694641,True,VALID
260458.jpg,1,0.8476197719573975,True,VALID
260458.jpg,2,0.8223283886909485,True,VALID
260458.jpg,3,0.7963681221008301,True,VALID
230400.jpg,0,0.8262057900428772,True,VALID
230400.jpg,1,,,
220287.jpg,0,0.8414708971977234,True,VALID
220287.jpg,1,0.8289838433265686,True,VALID
220287.jpg,2,0.8232240676879883,True,VALID
220287.jpg,3,0.6839019060134888,True,VALID
220036.jpg,0,0.8470020890235901,True,VALID
220036.jpg,1,,,
190256.jpg,0,0.8868343830108643,True,VALID
190256.jpg,1,0.848335862159729,True,VALID
190256.jpg,2,0.8482028841972351,True,VALID
190256.jpg,3,0.8406290411949158,True,VALID
190256.jpg,4,0.815634548664093,True,VALID
220067.jpg,0,0.7325825095176697,True,VALID
220067.jpg,1,0.603308916091919,True,VALID
260063.jpg,0,0.8424242734909058,True,VALID
190677.jpg,0,0.8554084300994873,True,VALID
190677.jpg,1,0.8473263382911682,True,VALID
190677.jpg,2,0.8333167433738708,True,VALID
260222.jpg,0,0.513751745223999,True,FALSE_POSITIVE
240458.jpg,0,0.8726361989974976,True,VALID
